,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,user_followers,retweet,favorite,source_link,source_text,dog_etape
0,892420643555336193,,,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,114031,8853,39467,http://twitter.com/download/iphone,Twitter for iPhone,
1,892177421306343426,,,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,114031,6514,33819,http://twitter.com/download/iphone,Twitter for iPhone,
2,891815181378084864,,,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,114031,4328,25461,http://twitter.com/download/iphone,Twitter for iPhone,
3,891689557279858688,,,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,114031,8964,42908,http://twitter.com/download/iphone,Twitter for iPhone,
4,891327558926688256,,,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://twitter.com/dog_rates/status/891327558926688256/photo/1,12,10,Franklin,114031,9774,41048,http://twitter.com/download/iphone,Twitter for iPhone,
5,891087950875897856,,,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,,114031,3261,20562,http://twitter.com/download/iphone,Twitter for iPhone,
6,890971913173991426,,,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",https://twitter.com/dog_rates/status/890971913173991426/photo/1,13,10,Jax,114031,2158,12041,http://twitter.com/download/iphone,Twitter for iPhone,
7,890729181411237888,,,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13,10,,114031,16716,56848,http://twitter.com/download/iphone,Twitter for iPhone,
8,890609185150312448,,,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,114031,4429,28226,http://twitter.com/download/iphone,Twitter for iPhone,
9,890240255349198849,,,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,114031,7711,32467,http://twitter.com/download/iphone,Twitter for iPhone,doggo
10,890006608113172480,,,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,https://twitter.com/dog_rates/status/890006608113172480/photo/1,13,10,Koda,114031,7624,31166,http://twitter.com/download/iphone,Twitter for iPhone,
